Deals
Deal ID,Order ID,Symbol,Opening Direction,Closing Direction,Opening time (UTC+8),Closing Time (UTC+8),Entry price,Closing price,Closing Quantity,Commissions,Pips,Net USD,Channel,Balance USD
DID315271452,356140007,0003.HK,Sell,Buy,20 Aug 2026 13:51:35.500,21 Aug 2026 09:31:00.286,7.370,7.435,5 000 Lots,-14.16,-6.5,-55.60,openapi_cbot-t,46 482.93
DID315179943,356234416,JPM.US,Buy,Sell,20 Aug 2026 21:31:00.353,20 Aug 2026 21:38:19.954,355.88,354.54,357.5 Lots,-14.30,-13.4,-493.35,openapi_cbot-t,46 538.53
DID315099632,356142052,GER40,Buy,Sell,19 Aug 2026 22:04:54.359,20 Aug 2026 14:05:07.562,26103.8,26123.9,5.3 Lots,0.00,20.1,103.62,openapi_cbot-t,47 031.88
DID315072160,355857330,0016.HK,Buy,Sell,19 Aug 2026 10:36:56.238,20 Aug 2026 09:31:00.274,119.210,123.310,3 789 Lots,-175.77,410.0,1 797.60,openapi_cbot-t,46 928.26
DID314889696,355858351,NAS100,Sell,Buy,19 Aug 2026 10:44:45.199,19 Aug 2026 15:57:45.189,29431.7,29513.5,5.7 Lots,0.00,-81.8,-466.26,openapi_cbot-t,45 130.66
DID314860346,355856019,0003.HK,Buy,Sell,19 Aug 2026 10:29:29.658,19 Aug 2026 13:14:51.351,7.305,7.205,5 000 Lots,-13.88,-10.0,-77.64,openapi_cbot-t,45 596.92
DID314678163,355306858,0066.HK,Sell,Buy,17 Aug 2026 13:59:50.349,18 Aug 2026 15:08:18.668,33.030,33.150,5 000 Lots,-63.26,-12.0,-139.83,openapi_cbot-t,45 674.56
DID314572369,355395101,DOW.US,Sell,Buy,17 Aug 2026 21:31:04.766,18 Aug 2026 02:22:56.739,31.11,31.26,250 Lots,-10.00,-1.5,-47.50,openapi_cbot-t,45 814.39
DID314439182,355258756,USDJPY,Sell,Buy,17 Aug 2026 09:15:59.716,17 Aug 2026 17:02:01.346,159.042,159.160,0.14 Lots,-0.98,-11.8,-11.36,openapi_cbot-t,45 861.89
DID314384036,355257229,US30,Buy,Sell,17 Aug 2026 09:10:24.711,17 Aug 2026 09:41:57.090,53720.0,53698.6,8.3 Lots,0.00,-21.4,-177.62,openapi_cbot-t,45 873.25
